Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.01    102.03     0.01                             std::_Vector_base<char, std::allocator<char> >::_M_deallocate(char*, unsigned int)
  0.01    102.04     0.01                             std::move_iterator<MVertex*>::move_iterator(MVertex*)
  0.01    102.05     0.01                             std::__tuple_compare<0u, 5u, 5u, std::tuple<unsigned int&, unsigned int&, float&, float&, float&>, std::tuple<unsigned int&, unsigned int&, float&, float&, float&> >::__less(std::tuple<unsigned int&, unsigned int&, float&, float&, float&> const&, std::tuple<unsigned int&, unsigned int&, float&, float&, float&> const&)
  0.01    102.06     0.01                             _ZNSt16allocator_traitsISaI7MVertexEE12_S_constructIS0_IRKS0_EEENSt9enable_ifIXsrNS2_18__construct_helperIT_IDpT0_EEE5valueEvE4typeERS1_PS8_DpOS9_
  0.01    102.07     0.01                             void std::allocator_traits<std::allocator<Tempest::AbstractGraphicObject<Material> const*> >::destroy<Tempest::AbstractGraphicObject<Material> const*>(std::allocator<Tempest::AbstractGraphicObject<Material> const*>&, Tempest::AbstractGraphicObject<Material> const**)
  0.01    102.08     0.01                             std::enable_if<std::allocator_traits<std::allocator<Tempest::AbstractHolder<Tempest::Texture2d, Tempest::AbstractAPI::Texture>::ImplManip::Ref*> >::__destroy_helper<Tempest::AbstractHolder<Tempest::Texture2d, Tempest::AbstractAPI::Texture>::ImplManip::Ref*>::value, void>::type std::allocator_traits<std::allocator<Tempest::AbstractHolder<Tempest::Texture2d, Tempest::AbstractAPI::Texture>::ImplManip::Ref*> >::_S_destroy<Tempest::AbstractHolder<Tempest::Texture2d, Tempest::AbstractAPI::Texture>::ImplManip::Ref*>(std::allocator<Tempest::AbstractHolder<Tempest::Texture2d, Tempest::AbstractAPI::Texture>::ImplManip::Ref*>&, Tempest::AbstractHolder<Tempest::Texture2d, Tempest::AbstractAPI::Texture>::ImplManip::Ref**)
  0.01    102.08     0.01                             _ZNSt16allocator_traitsISaIPN7Tempest14AbstractHolderINS0_9Texture2dENS0_11AbstractAPI7TextureEE9ImplManip3RefEEE12_S_constructIS8_IRKS8_EEENSt9enable_ifIXsrNSA_18__construct_helperIT_IDpT0_EEE5valueEvE4typeERS9_PSG_DpOSH_
  0.01    102.10     0.01                             std::enable_if<std::allocator_traits<std::allocator<unsigned short> >::__construct_helper<unsigned short<unsigned short> >::value, void>::type std::allocator_traits<std::allocator<unsigned short> >::_S_construct<unsigned short, unsigned short>(std::allocator<unsigned short>&, unsigned short*, unsigned short&&)
  0.01    102.11     0.01                             void std::allocator_traits<std::allocator<unsigned short> >::construct<unsigned short, unsigned short>(std::allocator<unsigned short>&, unsigned short*, unsigned short&&)
  0.01    102.11     0.01                             std::_Rb_tree_iterator<std::pair<Tempest::Bind::UserFont::Key const, Tempest::Bind::UserFont::LMap*> >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<Tempest::Bind::UserFont::Key const, Tempest::Bind::UserFont::LMap*> >*)
  0.01    102.13     0.01                             Tempest::AbstractGraphicObject<Material> const** std::__copy_move_backward<true, true, std::random_access_iterator_tag>::__copy_move_b<Tempest::AbstractGraphicObject<Material> const*>(Tempest::AbstractGraphicObject<Material> const* const*, Tempest::AbstractGraphicObject<Material> const* const*, Tempest::AbstractGraphicObject<Material> const**)
  0.01    102.14     0.01                             void std::__uninitialized_default_n_1<true>::__uninit_default_n<MVertex*, unsigned int>(MVertex*, unsigned int)
  0.01    102.15     0.01                             std::pair<bool, int>::pair<bool, int, void>(bool&&, int&&)
  0.01    102.16     0.01                             std::vector<WaterVertex, std::allocator<WaterVertex> >::push_back(WaterVertex const&)
  0.01    102.17     0.01                             std::vector<WaterVertex, std::allocator<WaterVertex> >::operator[](unsigned int)
  0.01    102.18     0.01                             std::vector<PixmapsPool::Page, std::allocator<PixmapsPool::Page> >::operator[](unsigned int)
  0.01    102.19     0.01                             std::vector<SpatialIndex::VPoint, std::allocator<SpatialIndex::VPoint> >::back()
  0.01    102.19     0.01                             std::vector<BehaviorMSGQueue::MSG, std::allocator<BehaviorMSGQueue::MSG> >::end()
  0.01    102.21     0.01                             std::vector<BehaviorMSGQueue::MSG, std::allocator<BehaviorMSGQueue::MSG> >::resize(unsigned int)
  0.01    102.22     0.01                             std::vector<GUIPass::GeometryBlock, std::allocator<GUIPass::GeometryBlock> >::back()
  0.01    102.22     0.01                             std::vector<GUIPass::GeometryBlock, std::allocator<GUIPass::GeometryBlock> >::resize(unsigned int)
  0.01    102.24     0.01                             std::vector<GUIPass::GeometryBlock, std::allocator<GUIPass::GeometryBlock> >::pop_back()
  0.01    102.25     0.01                             std::vector<GUIPass::GeometryBlock, std::allocator<GUIPass::GeometryBlock> >::operator[](unsigned int)
  0.01    102.26     0.01                             std::vector<GUIPass::Vertex, std::allocator<GUIPass::Vertex> >::clear()
  0.01    102.27     0.01                             std::vector<Tempest::LocalBufferHolder<Tempest::VertexBufferHolder>::NonFreed, std::allocator<Tempest::LocalBufferHolder<Tempest::VertexBufferHolder>::NonFreed> >::back()
  0.01    102.28     0.01                             std::vector<Tempest::Point, std::allocator<Tempest::Point> >::end()
  0.01    102.29     0.01                             std::vector<Tempest::signal<Tempest::Painter&, int, int>::Impl, std::allocator<Tempest::signal<Tempest::Painter&, int, int>::Impl> >::operator[](unsigned int)
  0.01    102.30     0.01                             std::vector<SmallGraphicsObject*, std::allocator<SmallGraphicsObject*> >::operator[](unsigned int)
  0.01    102.31     0.01                             std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> >::_M_erase_at_end(Tempest::AbstractGraphicObject<Material> const**)
  0.01    102.32     0.01                             std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> >::clear()
  0.01    102.33     0.01                             std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned int)
  0.01    102.33     0.01                             std::vector<unsigned int, std::allocator<unsigned int> >::end()
  0.01    102.35     0.01                             std::vector<unsigned short, std::allocator<unsigned short> >::push_back(unsigned short&&)
  0.01    102.36     0.01                             std::__detail::_Hash_node<std::pair<WaterVertex const, unsigned short>, true>::_Hash_node<std::pair<WaterVertex, unsigned short> >(std::pair<WaterVertex, unsigned short>&&)
  0.01    102.36     0.01                             std::__detail::_Hash_node_base::_Hash_node_base()
  0.01    102.38     0.01                             std::__detail::_Node_iterator_base<std::pair<WaterVertex const, unsigned short>, true>::_M_incr()
  0.01    102.39     0.01                             std::__detail::_Node_iterator_base<std::pair<WaterVertex const, unsigned short>, true>::_Node_iterator_base(std::__detail::_Hash_node<std::pair<WaterVertex const, unsigned short>, true>*)
  0.01    102.40     0.01                             std::__detail::_Node_iterator_base<std::pair<std::string const, Resource::Box<Resource::Texture>::ToLoadPromision>, true>::_Node_iterator_base(std::__detail::_Hash_node<std::pair<std::string const, Resource::Box<Resource::Texture>::ToLoadPromision>, true>*)
  0.01    102.41     0.01                             std::__detail::_Hashtable_ebo_helper<0, std::_Select1st<std::pair<WaterVertex const, unsigned short> >, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<0, std::_Select1st<std::pair<WaterVertex const, unsigned short> >, true> const&)
  0.01    102.42     0.01                             std::__detail::_Hashtable_ebo_helper<0, std::_Select1st<std::pair<MVertex const, unsigned short> >, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<0, std::_Select1st<std::pair<MVertex const, unsigned short> >, true> const&)
  0.01    102.43     0.01                             std::__detail::_Hashtable_ebo_helper<0, std::equal_to<std::string>, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<0, std::equal_to<std::string>, true> const&)
  0.01    102.44     0.01                             std::__detail::_Hashtable_ebo_helper<1, MVertex::hash, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<1, MVertex::hash, true> const&)
  0.01    102.44     0.01                             std::__detail::_Map_base<WaterVertex, std::pair<WaterVertex const, unsigned short>, std::_Select1st<std::pair<WaterVertex const, unsigned short> >, true, std::_Hashtable<WaterVertex, std::pair<WaterVertex const, unsigned short>, std::allocator<std::pair<WaterVertex const, unsigned short> >, std::_Select1st<std::pair<WaterVertex const, unsigned short> >, std::equal_to<WaterVertex>, MVertex::hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, true, false, true> >::operator[](WaterVertex const&)
  0.01    102.46     0.01                             bool std::__detail::operator!=<GameObjectView*, true>(std::__detail::_Node_iterator_base<GameObjectView*, true> const&, std::__detail::_Node_iterator_base<GameObjectView*, true> const&)
  0.01    102.47     0.01                             bool std::__detail::operator!=<std::pair<std::string const, Resource::Box<PixmapsPool::TexturePtr>::ToLoadPromision>, true>(std::__detail::_Node_iterator_base<std::pair<std::string const, Resource::Box<PixmapsPool::TexturePtr>::ToLoadPromision>, true> const&, std::__detail::_Node_iterator_base<std::pair<std::string const, Resource::Box<PixmapsPool::TexturePtr>::ToLoadPromision>, true> const&)
  0.01    102.47     0.01                             __gnu_cxx::__enable_if<!std::__is_scalar<MVertex>::__value, MVertex*>::__type std::__fill_n_a<MVertex*, unsigned int, MVertex>(MVertex*, unsigned int, MVertex const&)
  0.01    102.49     0.01                             __gnu_cxx::__enable_if<std::__is_scalar<int>::__value, int*>::__type std::__fill_n_a<int*, unsigned int, int>(int*, unsigned int, int const&)
  0.01    102.50     0.01                             void std::__push_heap<__gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, int, Tempest::AbstractGraphicObject<Material> const*, bool (*)(Tempest::AbstractGraphicObject<Material> const*, Tempest::AbstractGraphicObject<Material> const*)>(__gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, int, int, Tempest::AbstractGraphicObject<Material> const*, bool (*)(Tempest::AbstractGraphicObject<Material> const*, Tempest::AbstractGraphicObject<Material> const*))
  0.01    102.51     0.01                             std::_Miter_base<float const*>::iterator_type std::__miter_base<float const*>(float const*)
  0.01    102.52     0.01                             std::_Miter_base<double*>::iterator_type std::__miter_base<double*>(double*)
  0.01    102.53     0.01                             std::_Niter_base<float const*>::iterator_type std::__niter_base<float const*>(float const*)
  0.01    102.54     0.01                             std::_Niter_base<unsigned char*>::iterator_type std::__niter_base<unsigned char*>(unsigned char*)
  0.01    102.55     0.01                             float* std::__copy_move_a<false, float*, float*>(float*, float*, float*)
  0.01    102.56     0.01                             float* std::__copy_move_a2<false, float const*, float*>(float const*, float const*, float*)
  0.01    102.57     0.01                             EnvObject* std::uninitialized_copy<EnvObject*, EnvObject*>(EnvObject*, EnvObject*, EnvObject*)
  0.01    102.58     0.01                             std::iterator_traits<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > >(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > const&)
  0.01    102.58     0.01                             Tempest::LocalBufferHolder<Tempest::VertexBufferHolder>::NonFreed* std::__uninitialized_copy_a<std::move_iterator<Tempest::LocalBufferHolder<Tempest::VertexBufferHolder>::NonFreed*>, Tempest::LocalBufferHolder<Tempest::VertexBufferHolder>::NonFreed*, Tempest::LocalBufferHolder<Tempest::VertexBufferHolder>::NonFreed>(std::move_iterator<Tempest::LocalBufferHolder<Tempest::VertexBufferHolder>::NonFreed*>, std::move_iterator<Tempest::LocalBufferHolder<Tempest::VertexBufferHolder>::NonFreed*>, Tempest::LocalBufferHolder<Tempest::VertexBufferHolder>::NonFreed*, std::allocator<Tempest::LocalBufferHolder<Tempest::VertexBufferHolder>::NonFreed>&)
  0.01    102.60     0.01                             __gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > > std::__copy_move_backward_a2<true, __gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, __gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > > >(__gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, __gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, __gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >)
  0.01    102.61     0.01                             Pt* std::__copy_move_backward_a2<true, Pt*, Pt*>(Pt*, Pt*, Pt*)
  0.01    102.61     0.01                             MVertex* std::__uninitialized_move_if_noexcept_a<MVertex*, MVertex*, std::allocator<MVertex> >(MVertex*, MVertex*, MVertex*, std::allocator<MVertex>&)
  0.01    102.63     0.01                             std::__add_c_ref<std::tuple_element<0u, std::tuple<WayFindRequest*, std::default_delete<WayFindRequest> > >::type>::type std::get<0u, WayFindRequest*, std::default_delete<WayFindRequest> >(std::tuple<WayFindRequest*, std::default_delete<WayFindRequest> > const&)
  0.01    102.64     0.01                             std::__add_c_ref<std::tuple_element<0u, std::tuple<ParticleSystemEngine*, std::default_delete<ParticleSystemEngine> > >::type>::type std::get<0u, ParticleSystemEngine*, std::default_delete<ParticleSystemEngine> >(std::tuple<ParticleSystemEngine*, std::default_delete<ParticleSystemEngine> > const&)
  0.01    102.65     0.01                             std::__add_ref<std::tuple_element<0u, std::tuple<Tempest::GraphicObject<Material>*, std::default_delete<Tempest::GraphicObject<Material> > > >::type>::type std::get<0u, Tempest::GraphicObject<Material>*, std::default_delete<Tempest::GraphicObject<Material> > >(std::tuple<Tempest::GraphicObject<Material>*, std::default_delete<Tempest::GraphicObject<Material> > >&)
  0.01    102.66     0.01                             unsigned int const& std::max<unsigned int>(unsigned int const&, unsigned int const&)
  0.01    102.67     0.01                             double* std::copy<double*, double*>(double*, double*, double*)
  0.01    102.68     0.01                             float* std::copy<float*, float*>(float*, float*, float*)
  0.01    102.69     0.01                             std::remove_reference<GameObject*&>::type&& std::move<GameObject*&>(GameObject*&)
  0.01    102.69     0.01                             std::remove_reference<Tempest::GraphicObject<Material>*&>::type&& std::move<Tempest::GraphicObject<Material>*&>(Tempest::GraphicObject<Material>*&)
  0.01    102.71     0.01                             __gnu_cxx::__normal_iterator<GameObject**, std::vector<GameObject*, std::allocator<GameObject*> > > std::remove<__gnu_cxx::__normal_iterator<GameObject**, std::vector<GameObject*, std::allocator<GameObject*> > >, GameObject*>(__gnu_cxx::__normal_iterator<GameObject**, std::vector<GameObject*, std::allocator<GameObject*> > >, __gnu_cxx::__normal_iterator<GameObject**, std::vector<GameObject*, std::allocator<GameObject*> > >, GameObject* const&)
  0.01    102.72     0.01                             Tempest::Point&& std::forward<Tempest::Point>(std::remove_reference<Tempest::Point>::type&)
  0.01    102.72     0.01                             WaterVertex const& std::forward<WaterVertex const&>(std::remove_reference<WaterVertex const&>::type&)
  0.01    102.74     0.01                             GUIPass::State const& std::forward<GUIPass::State const&>(std::remove_reference<GUIPass::State const&>::type&)
  0.01    102.75     0.01                             Tempest::AbstractHolder<Tempest::Texture2d, Tempest::AbstractAPI::Texture>::ImplManip::Ref* const& std::forward<Tempest::AbstractHolder<Tempest::Texture2d, Tempest::AbstractAPI::Texture>::ImplManip::Ref* const&>(std::remove_reference<Tempest::AbstractHolder<Tempest::Texture2d, Tempest::AbstractAPI::Texture>::ImplManip::Ref* const&>::type&)
  0.01    102.76     0.01                             std::pair<WaterVertex, unsigned short>&& std::forward<std::pair<WaterVertex, unsigned short> >(std::remove_reference<std::pair<WaterVertex, unsigned short> >::type&)
  0.01    102.77     0.01                             bool&& std::forward<bool>(std::remove_reference<bool>::type&)
  0.01    102.78     0.01                             void std::_Destroy<MVertex*>(MVertex*, MVertex*)
  0.01    102.79     0.01                             void std::_Destroy<unsigned short*>(unsigned short*, unsigned short*)
  0.01    102.80     0.01                             __gnu_cxx::__enable_if<std::__is_scalar<double>::__value, void>::__type std::__fill_a<float*, double>(float*, float*, double const&)
  0.01    102.81     0.01                             std::iterator_traits<unsigned long const*>::difference_type std::distance<unsigned long const*>(unsigned long const*, unsigned long const*)
  0.01    102.82     0.01                             std::pair<std::__decay_and_strip<Tempest::AbstractGraphicObject<Material> const* const&>::__type, std::__decay_and_strip<OcTree<Tempest::AbstractGraphicObject<Material> const*>*>::__type> std::make_pair<Tempest::AbstractGraphicObject<Material> const* const&, OcTree<Tempest::AbstractGraphicObject<Material> const*>*>(Tempest::AbstractGraphicObject<Material> const* const&, OcTree<Tempest::AbstractGraphicObject<Material> const*>*&&)
  0.01    102.83     0.01                             bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.01    102.83     0.01                             bool std::operator!=<wchar_t, std::char_traits<wchar_t>, std::allocator<wchar_t> >(std::basic_string<wchar_t, std::char_traits<wchar_t>, std::allocator<wchar_t> > const&, std::basic_string<wchar_t, std::char_traits<wchar_t>, std::allocator<wchar_t> > const&)
  0.01    102.85     0.01                             __chkstk_ms
  0.01    102.86     0.01                             __sinl_internal
  0.00    102.86     0.01                             GameMessages::message(std::basic_string<wchar_t, std::char_traits<wchar_t>, std::allocator<wchar_t> > const&, PixmapsPool::TexturePtr)
  0.00    102.86     0.01                             GameMessages::tickAll()
  0.00    102.87     0.01                             TerrainChunk::TerrainChunk()
  0.00    102.88     0.01                             Game::computePhysic(void*)
  0.00    102.88     0.01                             World::mouseObj()
  0.00    102.89     0.01                             Terrain::mkTexCoord(float&, float&, float, float)
  0.00    102.89     0.01                             RichText::paintEvent(Tempest::PaintEvent&)
  0.00    102.90     0.01                             World::mouseZ() const
  0.00    102.90     0.01                             Terrain::viewWidth() const

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.
